[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True, False) | Tue Mar 25 22:14:43 2025
[LoggerStatus.SUCCESS] | [+] Create default directories | Tue Mar 25 22:14:43 2025
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Tue Mar 25 22:14:43 2025
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Tue Mar 25 22:14:44 2025
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Tue Mar 25 22:14:48 2025
[LoggerStatus.SUCCESS] | Installed: tumbler | Tue Mar 25 22:15:39 2025
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Tue Mar 25 22:15:48 2025
[LoggerStatus.SUCCESS] | Installed: lsd | Tue Mar 25 22:15:50 2025
[LoggerStatus.SUCCESS] | Installed: alacritty | Tue Mar 25 22:15:51 2025
[LoggerStatus.SUCCESS] | Installed: bat | Tue Mar 25 22:15:52 2025
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Tue Mar 25 22:15:53 2025
[LoggerStatus.SUCCESS] | Installed: calc | Tue Mar 25 22:15:54 2025
[LoggerStatus.SUCCESS] | Installed: automake | Tue Mar 25 22:15:54 2025
[LoggerStatus.SUCCESS] | Installed: blueman | Tue Mar 25 22:15:58 2025
[LoggerStatus.SUCCESS] | Installed: bluez | Tue Mar 25 22:15:59 2025
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Tue Mar 25 22:16:00 2025
[LoggerStatus.SUCCESS] | Installed: dunst | Tue Mar 25 22:16:00 2025
[LoggerStatus.SUCCESS] | Installed: fakeroot | Tue Mar 25 22:16:01 2025
[LoggerStatus.SUCCESS] | Installed: feh | Tue Mar 25 22:16:02 2025
[LoggerStatus.SUCCESS] | Installed: firefox | Tue Mar 25 22:16:10 2025
[LoggerStatus.SUCCESS] | Installed: fish | Tue Mar 25 22:16:11 2025
[LoggerStatus.SUCCESS] | Installed: dpkg | Tue Mar 25 22:16:12 2025
[LoggerStatus.SUCCESS] | Installed: gcc | Tue Mar 25 22:16:13 2025
[LoggerStatus.SUCCESS] | Installed: gedit | Tue Mar 25 22:16:14 2025
[LoggerStatus.SUCCESS] | Installed: git | Tue Mar 25 22:16:15 2025
[LoggerStatus.SUCCESS] | Installed: gnu-netcat | Tue Mar 25 22:16:16 2025
[LoggerStatus.SUCCESS] | Installed: htop | Tue Mar 25 22:16:17 2025
[LoggerStatus.SUCCESS] | Installed: btop | Tue Mar 25 22:16:18 2025
[LoggerStatus.SUCCESS] | Installed: nano | Tue Mar 25 22:16:18 2025
[LoggerStatus.SUCCESS] | Installed: lxappearance | Tue Mar 25 22:16:20 2025
[LoggerStatus.SUCCESS] | Installed: mat2 | Tue Mar 25 22:16:21 2025
[LoggerStatus.SUCCESS] | Installed: mpd | Tue Mar 25 22:16:24 2025
[LoggerStatus.SUCCESS] | Installed: mpv | Tue Mar 25 22:16:25 2025
[LoggerStatus.SUCCESS] | Installed: thunar | Tue Mar 25 22:16:26 2025
[LoggerStatus.SUCCESS] | Installed: ncmpcpp | Tue Mar 25 22:16:27 2025
[LoggerStatus.SUCCESS] | Installed: neofetch | Tue Mar 25 22:16:28 2025
[LoggerStatus.SUCCESS] | Installed: network-manager-applet | Tue Mar 25 22:16:30 2025
[LoggerStatus.SUCCESS] | Installed: nitrogen | Tue Mar 25 22:16:30 2025
